"placa metálica, balde e tubo"("metal plate, bucket, and pipe","placa metálica, cubo y tubo",5379)
2 bolsas(2 bags,2 bolsas)
2 garrafas(2 bottles,2 botellas)
2 medidores(2 gauges,2 indicadores)
2 tubos(2 pipes,2 tubos)
2 pequenos barris(2 small barrels,2 barriles pequeños)
2 ferramentas(2 tools,2 herramientas)
2 vasos(2 vases,2 jarrones)
2 moinhos de vento(2 windmills,2 molinos)
2 caixas de madeira e 2 vasos(2 wooden boxes and 2 vases,2 cajas de madera y 2 jarrones)
2 caixas de madeira(2 wooden boxes,2 cajas de madera)
2 mesas de trabalho(2 worktables,2 mesas de trabajo)
3 bolsas(3 bags,3 bolsas)
3 bolsas(3 bags,tres bolsas)
3 barris(3 barrels,3 barriles)
3 medidores grandes(3 big gauges,3 indicadores grandes)
3 garrafas(3 bottles,3 botellas)
3 pequenos vasos(3 small vases,3 jarrones pequeños)
3 vasos(3 vases,3 jarrones)
3 vasos(3 vases,tres jarrones)
4 tubos(4 pipes,4 tubos)
4 pistões(4 pistons,4 pistones)
5 medidores(5 gauges,5 indicadores)
6 medidores(6 gauges,6 indicadores)
raízes de Yeet-Comedora(Eat-Yeet roots,raíces de devorayit)
cofre do Médico Chefe(Head Doctor's safe,caja fuerte del médico jefe)
Tubarão da Terra(Land Shark,Terraburón)
Tubarão da Terra(Land Shark,terraburón)
cama ajustável(adjustable bed,cama regulable)
âncora(anchor,ancla)
maquinaria antiga(ancient machinery,maquinaria ancestral)
maquinaria antiga funcionando(ancient working machinery,maquinaria ancestral en condiciones)
maça(apple,manzana)
arcada(arch frame,arcada)
arcada(arch frame,arco de hierro)
armadura(armor,armadura)
arsenal(armory,armería)
máquina de montagem(assembly machine,ensambladora)
sótão(attic,ático)
machado(axe,hacha)
fundo da pintura(back of the painting,envés del cuadro)
fundo do tubo(back of the pipe,extremo del tubo)
mochila(backpack,mochila)
bolsa e pequenos objetos(bag and small objects,bolsa y objetos pequeños)
bolsa e baú de tesouro(bag and treasure chest,bolsa y cofre del tesoro)
saco de fertilizante(bag of fertilizer,saco de fertilizante)
bolsa embaixo do poste(bag under the post,bolsa bajo el poste)
bolsa(bag,bolsa)
galpão(barn,granero)
craca(barnacle,percebe)
barril detrás da cerca(barrel inside of the fence,barril detrás de la valla)
barril(barrel,barril)
cesta(basket,cesta)
banheira(bathtub,bañera)
cama(bed,cama)
corda do sino(bell rope,cuerda de campana)
sino(bell,campana)
banco(bench,banco)
grande bloco de madeira(big block of wood,gran bloque de madera)
caixa grande(big box,caja grande)
gaveta grande(big drawer,cajón grande)
máquina grande(big machine,máquina grande)
pedra grande(big rock,roca grande)
escudo grande(big shield,escudo grande)
arma grande(big weapon,arma grande)
gaiola(birdcage,pajarera)
escudo negro(black shield,escudo negro)
manta(blanket,manta)
arma contundente(blunt weapon,arma contundente)
quadro(board,tablón)
parafuso(bolt,tornillo)
ossos(bones,huesos)
fogueira(bonfire,hoguera)
livro dentro da caixa(book inside the box,libro dentro de la caja)
livro na estante(book on the shelf,libro en el estante)
livro(book,libro)
suporte de livros(bookend,sujetalibros)
estante(bookshelf,estantería)
garrafa(bottle,botella)
caixa na parede(box on the wall,caja en la pared)
caixa(box,caja)
pão(bread,pan)
posto da ponte(bridge post,poste del puente)
planta de folhas grandes(broad-leafed plant,planta de hojas grandes)
caixa cilíndrica quebrada(broken cylinder case,funda cilíndrica rota)
porta quebrada(broken door,puerta rota)
cerca quebrada(broken fence,valla rota)
escada quebrada(broken ladder,escalera rota)
lâmpada quebrada(broken lamp,lámpara rota)
maquinaria avariada(broken machinery,maquinaria averiada)
máquina avariada(broken machinery,máquina averiada)
peça quebrada(broken part,pieza rota)
peças quebrada(broken parts,piezas rotas)
robô avariado(broken robot,robot averiado)
teto quebrado(broken roof,techo roto)
telhado quebrado(broken roof,tejado roto)
armadilha avariada(broken trap,trampa averiada)
armadilha quebrada(broken trap,trampa rota)
árvore destroçada(broken tree,árbol destrozado)
poço imprestável(broken well,pozo inservible)
janela quebrada(broken window,ventana rota)
casa destruída(broken-down house,casa derruida)
máquina destruída(broken-down machine,máquina desmantelada)
vassoura(broom,escoba)
escova(brush,cepillo)
balde e barril(bucket and barrel,cubo y barril)
balde(bucket,cubo)
boletim(bulletin board,tablón de anuncios)
beliche(bunk bed,litera)
arbusto(bush,arbusto)
armário(cabinet,armario)
conector de cabos(cable connector,conector de cables)
cabo(cable,cable)
cacto(cactus,cactus)
bolo(cake,pastel)
fogueira(campfire,fogata)
lata(can,lata)
vela(candle,vela)
candelabro(candlestick,candelabro)
canoa(canoe,canoa)
garrafa(carafe,garrafa)
carro(cart,carro)
caixa de cartuchos(cartridge case,caja de cartuchos)
caixa registradora(cash register,caja registradora)
carapaça de alguma criatura(cast-off shell of some creature,caparazón desechado)
decoração de teto(ceiling decoration,decoración de techo)
máquina central(central machine,máquina central)
cadeira(chair,silla)
estante de queijos(cheese shelf,estantería de quesos)
queijo(cheese,queso)
material de limpeza(cleaning tools,material de limpieza)
relógio(clock,reloj)
tela(cloth,tela)
clava(club,garrote)
cabine(cockpit,cabina)
mesa quebrada(collapsed table,mesa rota)
edredom(comforter,edredón)
recipiente(container,contenedor)
painel de controle(control panel,panel de mando)
cozinha(cooking range,cocina)
mesa de cozinha(cooking table,mesa de cocina)
utensílio de cozinha(cooking utensil,utensilio de cocina)
coral(coral,coral)
cordão(cord,cordón)
esquina da fonte de água(corner of the water fountain,esquina de la fuente)
esquina(corner,esquina)
caixa de bancada(counter-top box,caja de encimera)
bancada(countertop,encimera)
acoplamento(coupling,acoplamiento)
madeira rachada(cracked wood,madera agrietada)
madeira lascada(cracked wood,madera astillada)
caixa de madeira lascada(cracked wooden box,caja de madera astillada)
cratera(crater,cráter)
nasa(creel,nasa)
colheita(crop,cosecha)
cristal(crystal,cristal)
taça(cup,taza)
armário(cupboard,armario)
cortina(curtain,cortina)
almofada da cadeira(cushion on the chair,cojín de la silla)
almofada(cushion,cojín)
tábua de corte e vaso(cutting board and vase,tabla de picar y jarrón)
tábua de corte(cutting board,tabla de picar)
caixa cilíndrica(cylinder case,funda cilíndrica)
cilindro(cylinder,cilindro)
caixa cilíndrica(cylindrical box,estuche cilíndrico)
árvore morta(dead tree,árbol marchito)
detritos(debris,desechos)
árvore decorada(decorated tree,árbol decorado)
vaso decorado(decorated vase,jarrón decorado)
decoração no centro(decoration in the center,adorno en el centro)
decoração(decoration,decoración)
escrivaninha(desk,escritorio)
dispositivo(device,dispositivo)
trapo(dishcloth,trapo)
porta(door,puerta)
gaveta e quadro de anotações(drawer and memo board,cajón y tablón de notas)
gaveta(drawer,cajón)
cômoda(dresser,cómoda)
penteadeira(dressing table,tocador)
peixe desidratado(dried fish,pescado seco)
bebida(drink,bebida)
tambor e caixa de madeira(drum and wooden box,tambor y caja de madera)
escorredor(drying rack,tendedero)
duto(duct,conducto)
pá de lixo(dustpan,recogedor)
ovo(egg,huevo)
tubo em cotovelo(elbow pipe,tubo acodado)
emblema(emblem,emblema)
lata vazia(empty can,lata vacía)
posto de entrada(entrance post,poste de entrada)
entrada(entrance,entrada)
maca(examination table,camilla )
exposição(exhibit,exposición)
monitor caído(fallen monitor,monitor caído)
árvore caída(fallen tree,árbol caído)
ferramenta agrícola(farming tool,aparejo de labranza)
cerca(fence,valla)
campo(field,campo)
alarme de incêndio(fire alarm,alarma contra incendios)
ferramentas para lareira(fireplace tools,herramientas para chimenea)
lareira(fireplace,chimenea)
caixa de lenha(firewood box,caja de leña)
machado de lenha(firewood hatchet,hacha de leña)
lenha(firewood,leña)
peixe(fish,pescado)
vara de pescar(fishing rod,caña de pescar)
mastro(flagpole,asta)
cesta de flores(flower basket,cesta de flores)
floreira(flower stand,florero)
flor(flower,flor)
canteiro no centro(flowerbed in the center,arriate en el centro)
canteiro(flowerbed,arriate)
vaso de flores sobre a estante(flowerpot above the shelf,maceta en el estante)
