--->Extraindo texto do arquivo mes_bg13_01_us.u16
Você está saindo desta cidade? #Y||Leave this town? #Y,¿Te marchas de esta ciudad? #Y||
Eu nunca tinha visto alguém tão teimoso... Eu não poderia falar com outro ministro?||I've never seen someone so stubborn... Are there any other ministers I can talk to?,Jamás había visto a alguien tan cabezota... ¿No podría hablar con otro ministro?||
A reconstrução de Talta? A aniquilação dos monstros? Você sabe o quanto isso vai custar?||The restoration of Talta? Slaying monsters? Do you have any idea how much that would cost?,¿La reconstrucción de Talta? ¿La aniquilación de los monstruos? Pero ¿sabes la fortuna que costaría eso?||
O resgate de hoje saiu bastante caro. Nós não podemos sair do teto.||Today's rescue was expensive enough. You should remember your place.,El rescate de hoy ha salido bastante caro. No podemos salirnos del tiesto.||
Peço por favor! A aldeia tem que ser habitável.||I beg you please! The village needs to be livable!,¡Te lo pido por favor! La aldea tiene que estar habitable.||
"É inaceitável, por favor, você deveria sair agora."||"This is unacceptable. Please, you must leave now.","Es inaceptable. Por favor, debes marcharte ya."||
"Algum dia, quando eu voltar para a vila, vou deixá-la tão bonita."||"Someday when I go back to the village, I'm going to make it as beautiful as it is here!","Algún día, cuando regrese a la aldea, la dejaré así de bonita."||
Paruto! Eu não vi você desde que saímos da Vila de Talta. O que faz aqui?||Paruto! I haven't seen you since we left Talta Village! What are you doing here?,¡Paruto! No te veo desde que nos fuimos de la aldea de Talta. ¿Qué haces aquí?||
Kluke... É que o jardim é tão lindo que...||"Kluke? Well, this garden is so lovely...",Kluke... Es que el jardín es tan hermoso que...||
"Eu estou apenas chocado, eu não tenho a menor idéia de como eles fizeram este jardim tão bonito."||"I am just shocked, I don't even have the slightest idea of how they made this garden so beautiful.",Me he quedado de piedra. No sé cómo han hecho para que este jardín sea tan hermoso.||
Eu acredito que a sala do trono está no andar mais alto. Mas eles não vão deixar você entrar sem uma audiência.||I believe the throne room is on the highest floor. But they won't let you in without an appointment.,"Creo que el salón del trono está en la planta superior, pero no te dejarán pasar sin audiencia."||
Morizon! O que você está fazendo aqui?||Morizon! What are you doing here?,"Morizón, ¿qué haces aquí?"||
Eu estava olhando o retrato do Rei Jibral.||I was looking at the portrait of King Jibral.,Contemplaba el retrato del rey Yibral.||
O rei é tão legal quanto Maro!||King is as cool as Maro!,¡El rey mola tanto como Marumaro!||
"O rei é jovem, mas governa bem. Ele ajudará a todos, sem dúvida."||"The king is young, but rules well. He will help us all, without a doubt.","Aunque aún es joven, el rey gobierna con sabiduría y nos ayudará, no cabe duda."||
A família real de Jibral possui muito podere.||The Jibral royal family has great royal power.,La familia real de Yibral tiene muchas potestades.||
Este castelo é tão grande quanto eu imaginava... seria maravilhoso morar em um lugar como este.||This Castle is as grand as I thought...it would be wonderful to live somewhere like this.,Este castillo no me ha decepcionado... Sería magnífico vivir en un sitio así de opulento.||
Com certeza é um castelo maravilhoso. Bom que eu vivi muito tempo para ver isso!||It sure is a wonderful castle. Good that I lived long to see this!,Es un castillo increíble. Menos mal que he vivido para verlo.||
O cavalo do rei é legal! Eu quero me juntar aow Mestres da Espada algum dia!||The king's horse is cool! I want to join the Blademasters someday!,"¡Cómo mola el corcel del rey! ¡Algún día, quiero convertirme en Maestro de espada!"||
Shu! Olhe este grande jardim!||Shu! Look at this great garden!,"Shu, mira qué jardín."||
"Coluti! O que você está fazendo aqui? Isso não é Talta, então se comporte!"||"Coluti! What are you doing here? This isn't Talta, so behave yourself!","Colduti, ¿qué haces aquí? No estás en Talta, así que compórtate."||
Sim senhor! Heh heh heh... estava imitando os Mestres da Espada!||Yes sir! Heh heh heh... that was my Blademasters impression!,"¡A la orden! Je, je, je... Estaba imitando a los Maestros de espada."||
Me siga!||Follow me!,¡Seguidme!||
Os Mestres da Espada são os guardas do rei.||The Blademasters are the king's guardsmen.,Los Maestros de espada protegen al rey.||
Nosso atual líder é Lady Zola. Ela é uma capitã fabulosa.||Our current leader is Lady Zola. She's a fabulous female captain.,"Nuestra líder es la capitán Zola, una mujer de armas tomar."||
