 (Purchased)( (Purchased), (Adquirido))
 purchased.( purchased., adquiridas.)
"""[W950]Cannot enhance mechat#Rwithout mechat enhancement parts."""("""[W950]Cannot enhance mechat#Rwithout mechat enhancement parts.""","""[W950]No se puede mejorar el mecóptero#Rsin piezas de mejora del mecóptero.""")
"""[W950]Enhancement is complete.#RThis mechat can't be enhanced any more."""("""[W950]Enhancement is complete.#RThis mechat can't be enhanced any more.""","""[W950]Mejora completa.#REste mecóptero no puede mejorarse más.""")
(((,()
)(),))
---(---,---)
???(???,¿¿¿???)
Accessories(Accessories,Accesorios)
Adventure Record(Adventure Record,Registro de aventuras)
Agility(Agility,Agilidad)
Aim(Aim,Apuntar)
All(All,Todo)
Ally(Ally,Aliado)
Ancient Medals(Ancient Medals,Medallas antiguas)
Ancient medals into gold.(Ancient medals into gold.,Medallas antiguas en oro.)
Area(Area,Área)
Arm(Arm,Brazo)
Assassin(Assassin,Asesino)
Attack(Attack,Ataque)
Attribute(Attribute,Atributo)
Audio Hints(Audio Hints,Consejos sonoros)
Audio(Audio,Audio)
Auto-Set(Auto-Set,Ajuste automático)
Available Skills(Available Skills,Habilidad disponible)
Available Skills(Available Skills,Habilidades disponibles)
Back(Back,Retroceder)
Barrier Magic(Barrier Magic,Magia de barrera)
Barriers Removed(Barriers Removed,Barreras desactivadas)
Basic Skill Slot(Basic Skill Slot,Hueco para habilidad básica)
Battle Hints(Battle Hints,Consejos de batalla)
Battle Record(Battle Record,Registro de batallas)
Battle(Battle,Batalla)
Belt(Belt,Cinturón)
Best at charged physical attacks.(Best at charged physical attacks.,Óptimo con ataques físicos cargados.)
Black Magic(Black Magic,Mago negro)
Bracelet(Bracelet,Pulsera)
Buy(Buy,Comprar)
Buy?(Buy?,¿Comprar?)
Camera(Camera,Cámara)
Can't Sell(Can't Sell,No puedes)
Cancel(Cancel,Cancelar)
Cast Spell(Cast Spell,Lanzar conjuro)
Casting Time(Casting Time,Tiempo de conjuración)
Center(Center,Centro)
Change Class(Change Class,Cambiar clase)
Change Shadow class?(Change Shadow class?,¿Cambiar clase de sombra?)
Charge Effect(Charge Effect,Efecto de la carga)
Charge Speed(Charge Speed,Velocidad de carga)
Charge(Charge,Carga)
Check/OK(Check/OK,Verificar/Aceptar)
Chinese(Chinese,Chino)
Circle(Circle,Círculo)
Class(Class,Clase)
Close(Close,Cerrar)
Column(Column,Columna)
Combo(Combo,Combinación)
Controls (General)(Controls (General),Controles (general))
Controls (Mechat Shooting)(Controls (Mechat Shooting),Controles (disparo mecóptero))
Convert ancient medals into gold.(Convert ancient medals into gold.,Convertir medallas antiguas en oro.)
Convert gold into ancient medals.(Convert gold into ancient medals.,Convertir oro en medallas antiguas.)
Convert?(Convert?,¿Convertir?)
Current Accessories(Current Accessories,Accesorios actuales)
Current Skills(Current Skills,Habilidades actuales)
Dash Attack(Dash Attack,Ataque carrera)
Defense(Defense,Defensa)
Disable(Disable,Desactivar)
Do you want to select skills?(Do you want to select skills?,¿Quieres seleccionar habilidades?)
Dragon learned a skill.(Dragon learned a skill.,El Dragón ha aprendido una habilidad.)
EXP(EXP,EXP)
Ear(Ear,Oreja)
Earrings(Earrings,Pendientes)
Effect(Effect,Efecto)
Empty(Empty,Vacío)
Enable(Enable,Activar)
Encounter Type(Encounter Type,Tipo de encuentro)
Encyclopedia(Encyclopedia,Enciclopedia)
Enemy(Enemy,Enemigo)
English(English,Inglés)
Enhance Mechat(Enhance Mechat,Mejorar mecóptero)
Enhance(Enhance,Mejorar)
Enhance?(Enhance?,¿Mejorar?)
Enhanced(Enhanced,Mejora aplicada)
Enhancement(Enhancement,Mejora)
Equip Skill(Equip Skill,Equipar habilidad)
Equip(Equip,Equipar)
Equipped Skills(Equipped Skills,Habilidades equipadas)
Escapes(Escapes,Huídas)
Evade(Evade,Evasión)
Evasion(Evasion,Evasión)
Fast(Fast,Rápido)
Field Menu(Field Menu,Menú de exploración)
Field Skill 1(Field Skill 1,Habilidad exploración 1)
Field Skill 2(Field Skill 2,Habilidad exploración 2)
Field and Battle(Field and Battle,Batalla y exploración)
Field(Field,Exploración)
Finger(Finger,Dedo)
Fix(Fix,Rep.)
Formation(Formation,Formación)
French(French,Francés)
G(G,O)
Gems(Gems,Gemas)
Generalist(Generalist,Factótum)
German(German,Alemán)
Gold into ancient medals.(Gold into ancient medals.,Oro en medallas antiguas.)
Gold(Gold,Oro)
Guardian(Guardian,Guardián)
HP(HP,PS)
Heal(Heal,Curación)
Help(Help,Ayuda)
Hit(Hit,Golpear)
Information(Information,Información)
Intelligence(Intelligence,Inteligencia)
Invert(Invert,Invertir)
Italian(Italian,Italiano)
Item Record(Item Record,Registro de objetos)
Item to Use(Item to Use,Objeto para utilizar)
Items(Items,Objetos)
Japanese(Japanese,Japonés)
Jiro(Jiro,Yiro)
Killer Bat learned a skill.(Killer Bat learned a skill.,El Vampiro ha aprendido una habilidad.)
Kluke(Kluke,Kluke)
Korean(Korean,Coreano)
L(L,I)
LV 1(LV 1,NV 1)
LV 2(LV 2,NV 2)
LV 3(LV 3,NV 3)
LV 4(LV 4,NV 4)
LV 5(LV 5,NV 5)
LV 6(LV 6,NV 6)
LV(LV,NV)
Large(Large,Grande)
Learned Skills(Learned Skills,Habilidades aprendidas)
Leave Mechat Dock(Leave Mechat Dock,Abandonar muelle de mecóptero)
Left(Left,Izda.)
Level(Level,Nivel)
